Center.x,Center.y,Left.x,Left.y,Right.x,Right.y,Top.x,Top.y,Bottom.x,Bottom.y,avg_value
782.924,899.191,772.672,899.191,793.175,899.191,782.924,893.096,782.924,905.287,52.4835
1361.82,881.917,1355.74,881.917,1367.91,881.917,1361.82,878.684,1361.82,885.149,47.7558
1325.14,880.942,1319.5,880.942,1330.78,880.942,1325.14,877.609,1325.14,884.275,51.6582
1289.04,881.165,1281.48,881.165,1296.59,881.165,1289.04,876.023,1289.04,886.308,58.8897
1253.56,879.964,1246.46,879.964,1260.66,879.964,1253.56,875.61,1253.56,884.318,53.4672
1217.26,879.427,1209.96,879.427,1224.57,879.427,1217.26,874.837,1217.26,884.018,50.9781
1146.37,878.575,1139.39,878.575,1153.34,878.575,1146.37,873.901,1146.37,883.25,54.062
1075.81,878.182,1070.8,878.182,1080.83,878.182,1075.81,874.345,1075.81,882.019,53.1714
190.14,877.086,186.148,877.086,194.131,877.086,190.14,874.074,190.14,880.097,49.7955
118.255,877.495,111.845,877.495,124.665,877.495,118.255,873.736,118.255,881.254,49.67
82.8848,878.028,76.2025,878.028,89.5671,878.028,82.8848,873.761,82.8848,882.295,55.125
1181.83,878.57,1173.42,878.57,1190.25,878.57,1181.83,872.919,1181.83,884.221,65.1243
1111.46,877.982,1103.84,877.982,1119.08,877.982,1111.46,872.684,1111.46,883.279,65.2763
1040.17,877.747,1032.76,877.747,1047.58,877.747,1040.17,872.617,1040.17,882.877,64.4101
1005.55,877.673,998.01,877.673,1013.09,877.673,1005.55,872.941,1005.55,882.406,55.1915
969.177,878.263,961.04,878.263,977.314,878.263,969.177,872.723,969.177,883.803,61.0783
882.542,877.438,875.708,877.438,889.377,877.438,882.542,872.843,882.542,882.034,58.619
439.754,877.116,432.978,877.116,446.53,877.116,439.754,872.663,439.754,881.569,60.7241
917.709,877.124,910.642,877.124,924.776,877.124,917.709,872.036,917.709,882.212,58.6154
847.176,877.41,838.881,877.41,855.471,877.41,847.176,871.688,847.176,883.131,65.3812
811.687,876.87,803.975,876.87,819.398,876.87,811.687,871.682,811.687,882.059,58.2208
776.275,876.5,768.848,876.5,783.701,876.5,776.275,871.757,776.275,881.243,57.4786
635.795,875.82,630.492,875.82,641.099,875.82,635.795,872.333,635.795,879.307,52.6849
564.772,876.478,557.298,876.478,572.246,876.478,564.772,871.725,564.772,881.232,55.7708
474.66,876.861,467.634,876.861,481.686,876.861,474.66,871.695,474.66,882.026,59.9104
368.246,876.751,360.524,876.751,375.968,876.751,368.246,871.944,368.246,881.559,55.7466
332.526,876.612,325.534,876.612,339.517,876.612,332.526,871.984,332.526,881.239,54.1
261.606,876.543,254.6,876.543,268.613,876.543,261.606,872.008,261.606,881.077,53.12
153.53,876.583,146.211,876.583,160.848,876.583,153.53,871.77,153.53,881.397,58.9478
740.736,876.529,732.127,876.529,749.345,876.529,740.736,870.767,740.736,882.29,70.2211
706.1,876.04,698.669,876.04,713.53,876.04,706.1,871.004,706.1,881.075,57.0719
671.007,875.947,662.887,875.947,679.126,875.947,671.007,870.698,671.007,881.197,66.7024
600.563,875.683,592.734,875.683,608.392,875.683,600.563,870.634,600.563,880.731,63.2039
530.406,876.165,522.79,876.165,538.022,876.165,530.406,870.989,530.406,881.342,61.1053
404.012,877.19,395.682,877.19,412.342,877.19,404.012,871.376,404.012,883.003,64.612
296.981,876.549,288.847,876.549,305.115,876.549,296.981,870.898,296.981,882.2,67.2203
225.476,876.319,218.148,876.319,232.803,876.319,225.476,871.196,225.476,881.442,65.5515
